code_geo,annee,taux_faible_diplome
59612,2022,54.27
59613,2016,52.14
59613,2022,51.27
59614,2016,57.22
59614,2022,52.03
59615,2016,52.12
59615,2022,52.75
59616,2016,54.76
59616,2022,53.44
59617,2016,52.87
59617,2022,46.17
59618,2016,50.66
59618,2022,45.1
59619,2016,61.66
59619,2022,58.9
59620,2016,49.02
59620,2022,49.59
59622,2016,52.31
59622,2022,49.02
59623,2016,49.42
59623,2022,47.5
59624,2016,60.04
59624,2022,58.86
59625,2016,53.56
59625,2022,54.09
59626,2016,58.69
59626,2022,60.86
59627,2016,48.87
59627,2022,46.73
59628,2016,56.23
59628,2022,54.17
59629,2016,52.65
59629,2022,50.69
59630,2016,56.73
59630,2022,55.57
59631,2016,58.22
59631,2022,53.95
59632,2016,53.14
59632,2022,51.75
59633,2016,50.47
59633,2022,48.86
59634,2016,52.79
59634,2022,52.75
59635,2016,49.13
59635,2022,53.99
59636,2016,63.29
59636,2022,66.14
59637,2016,57.33
59637,2022,58.32
59638,2016,58.6
59638,2022,61.63
59639,2016,57.07
59639,2022,59.11
59640,2016,62.5
59640,2022,61.03
59641,2016,52.2
59641,2022,51.79
59642,2016,56.12
59642,2022,59.1
59643,2016,46.15
59643,2022,52.1
59645,2016,51.69
59645,2022,51.47
59646,2016,66.82
59646,2022,68.24
59647,2016,54.33
59647,2022,53.33
59648,2016,61.2
59648,2022,63.44
59649,2016,49.71
59649,2022,48.84
59650,2016,55.99
59650,2022,55.13
59651,2016,49.24
59651,2022,45.79
59652,2016,50.35
59652,2022,46.91
59653,2016,58.59
59653,2022,56.75
59654,2016,56.25
59654,2022,53.84
59655,2016,59.01
59655,2022,60.12
59656,2016,61.08
59656,2022,58.78
59657,2016,49.44
59657,2022,52.6
59658,2016,63.02
59658,2022,64.79
59659,2016,57.27
59659,2022,54.46
59660,2016,60.93
59660,2022,65.4
59661,2016,50.46
59661,2022,50.0
59662,2016,55.67
59662,2022,55.67
59663,2016,54.17
59663,2022,54.38
59664,2016,49.5
59664,2022,45.13
59665,2016,51.3
59665,2022,50.81
59666,2016,54.59
59666,2022,54.42
59667,2016,55.77
59667,2022,55.49
59668,2016,52.08
59668,2022,53.07
59669,2016,51.42
59669,2022,50.72
59670,2016,56.47
59670,2022,58.34
