code_geo,annee,nb_faits_total,population_insee,nb_indicateurs,taux_delinquance
59258,2022,34.0,2811.0,4,12.1
59259,2022,0.0,501.0,9,0.0
59260,2022,77.0,4126.0,5,18.66
59261,2022,22.0,1732.0,5,12.7
59262,2022,6.0,2037.0,4,2.95
59263,2022,0.0,1044.0,3,0.0
59264,2022,0.0,725.0,4,0.0
59265,2022,9.0,2272.0,4,3.96
59266,2022,83.0,4099.0,8,20.25
59267,2022,0.0,283.0,6,0.0
59268,2022,180.0,5553.0,10,32.41
59269,2022,0.0,1434.0,3,0.0
59270,2022,0.0,471.0,8,0.0
59271,2022,1030.0,20347.0,14,50.62
59272,2022,98.0,4901.0,6,20.0
59273,2022,474.0,11451.0,11,41.39
59274,2022,0.0,470.0,8,0.0
59275,2022,0.0,1223.0,3,0.0
59276,2022,182.0,4645.0,10,39.18
59277,2022,0.0,354.0,7,0.0
59278,2022,167.0,4739.0,9,35.24
59279,2022,821.0,20684.0,13,39.69
59280,2022,0.0,786.0,2,0.0
59281,2022,20.0,1249.0,7,16.01
59282,2022,0.0,389.0,9,0.0
59283,2022,0.0,613.0,7,0.0
59284,2022,52.0,3853.0,6,13.5
59285,2022,33.0,2632.0,7,12.54
59286,2022,675.0,14922.0,12,45.24
59287,2022,0.0,192.0,8,0.0
59288,2022,45.0,2307.0,5,19.51
59289,2022,5.0,1472.0,3,3.4
59290,2022,0.0,374.0,4,0.0
59291,2022,683.0,14197.0,13,48.11
59292,2022,30.0,3224.0,5,9.31
59293,2022,13.0,1385.0,5,9.39
59294,2022,0.0,305.0,7,0.0
59295,2022,919.0,21785.0,13,42.18
59296,2022,0.0,352.0,9,0.0
59297,2022,7.0,1905.0,4,3.67
59299,2022,776.0,18579.0,12,41.77
59300,2022,0.0,552.0,6,0.0
59301,2022,74.0,4471.0,6,16.55
59302,2022,89.0,4176.0,8,21.31
59303,2022,49.0,2288.0,6,21.42
59304,2022,0.0,426.0,7,0.0
59305,2022,0.0,1627.0,3,0.0
59306,2022,0.0,299.0,9,0.0
59307,2022,0.0,855.0,3,0.0
59308,2022,0.0,915.0,3,0.0
59309,2022,92.0,4010.0,6,22.94
59310,2022,5.0,879.0,6,5.69
59311,2022,0.0,558.0,6,0.0
59312,2022,0.0,722.0,5,0.0
59313,2022,17.0,1448.0,4,11.74
59314,2022,44.0,3522.0,5,12.49
59315,2022,0.0,902.0,4,0.0
59316,2022,174.0,3301.0,12,52.71
59317,2022,268.0,7907.0,11,33.89
59318,2022,5.0,982.0,6,5.09
59319,2022,25.0,3206.0,5,7.8
59320,2022,23.0,1688.0,3,13.63
59321,2022,0.0,627.0,5,0.0
59322,2022,126.0,3335.0,9,37.78
59323,2022,6.0,1137.0,4,5.28
59324,2022,466.0,10273.0,12,45.36
59325,2022,0.0,860.0,5,0.0
59326,2022,0.0,1172.0,4,0.0
59327,2022,182.0,6212.0,10,29.3
59328,2022,978.0,27105.0,12,36.08
59329,2022,154.0,4902.0,9,31.42
59330,2022,38.0,2482.0,6,15.31
59331,2022,113.0,3414.0,6,33.1
59332,2022,64.0,1791.0,7,35.73
59333,2022,0.0,239.0,8,0.0
59334,2022,45.0,1593.0,4,28.25
59335,2022,31.0,3048.0,7,10.17
59336,2022,52.0,1355.0,6,38.38
59337,2022,0.0,705.0,9,0.0
59338,2022,0.0,618.0,7,0.0
59339,2022,507.0,9555.0,10,53.06
59340,2022,81.0,4101.0,8,19.75
59341,2022,0.0,448.0,7,0.0
59342,2022,0.0,232.0,10,0.0
59343,2022,639.0,9356.0,11,68.3
59344,2022,22.0,2483.0,4,8.86
59345,2022,35.0,2388.0,4,14.66
59346,2022,193.0,2966.0,9,65.07
59347,2022,0.0,529.0,5,0.0
59348,2022,0.0,1464.0,2,0.0
59349,2022,18.0,1874.0,4,9.61
59350,2022,32065.0,238695.0,15,134.33
59351,2022,0.0,532.0,7,0.0
59352,2022,238.0,8177.0,10,29.11
59353,2022,0.0,297.0,6,0.0
59354,2022,0.0,717.0,3,0.0
59356,2022,40.0,2170.0,7,18.43
59357,2022,25.0,2061.0,6,12.13
59358,2022,0.0,1217.0,2,0.0
59359,2022,119.0,5995.0,8,19.85
59360,2022,1078.0,22948.0,13,46.98
59361,2022,142.0,3756.0,9,37.81
59363,2022,0.0,903.0,3,0.0
59364,2022,0.0,902.0,4,0.0
59365,2022,431.0,6334.0,12,68.05
59366,2022,0.0,782.0,7,0.0
59367,2022,628.0,13987.0,11,44.9
59368,2022,1026.0,22161.0,13,46.3
59369,2022,45.0,3970.0,6,11.34
59370,2022,0.0,698.0,3,0.0
59371,2022,0.0,628.0,7,0.0
59372,2022,0.0,487.0,4,0.0
59374,2022,0.0,468.0,8,0.0
59375,2022,52.0,4506.0,4,11.54
59377,2022,26.0,1865.0,4,13.94
59378,2022,1748.0,39943.0,12,43.76
59379,2022,0.0,751.0,6,0.0
59381,2022,0.0,806.0,5,0.0
59382,2022,21.0,1403.0,4,14.97
59383,2022,506.0,11980.0,12,42.24
59384,2022,5.0,1445.0,4,3.46
59385,2022,53.0,2649.0,6,20.01
59386,2022,465.0,11709.0,10,39.71
59387,2022,5.0,1953.0,5,2.56
59388,2022,18.0,1971.0,3,9.13
59389,2022,46.0,2731.0,6,16.84
59390,2022,110.0,4028.0,5,27.31
59391,2022,5.0,900.0,2,5.56
59392,2022,1897.0,28879.0,14,65.69
59393,2022,0.0,955.0,3,0.0
59394,2022,0.0,405.0,5,0.0
59395,2022,0.0,279.0,8,0.0
59396,2022,0.0,697.0,3,0.0
59397,2022,0.0,609.0,7,0.0
59398,2022,84.0,3476.0,8,24.17
59399,2022,0.0,1078.0,6,0.0
