code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59066,00066,Bérelles,2017,102,20,82,80,19.61,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,33.75,20.0,17.5,11.25,8.75,DROITE,CENTRE,DROITE,GAUCHE,DROITE,20.0,3.75,60.0,16.25,18.18,22968.0,50.0,0.0,0.0,162,167,DROITE,0,LE PEN
59067,00067,Bergues,2017,2992,713,2279,2224,23.83,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,32.46,18.84,18.3,16.91,5.26,DROITE,DROITE,CENTRE,GAUCHE,DROITE,18.3,1.53,56.56,23.61,15.31,19373.0,59.78,29.77,111.0,3561,3601,DROITE,0,LE PEN
59068,00068,Berlaimont,2017,2372,605,1767,1712,25.51,LE PEN,MÉLENCHON,FILLON,MACRON,DUPONT-AIGNAN,32.89,21.32,16.71,16.59,4.85,DROITE,GAUCHE,DROITE,CENTRE,DROITE,16.59,1.4,54.44,27.57,19.38,18438.0,53.52,18.36,57.0,3180,3216,DROITE,0,LE PEN
59069,00069,Bermerain,2017,567,95,472,455,16.75,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,31.65,20.88,17.8,17.14,5.71,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.8,1.32,54.51,26.37,11.3,20848.0,54.54,0.0,0.0,763,775,DROITE,0,LE PEN
59070,00070,Bermeries,2017,278,44,234,228,15.83,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,35.53,21.05,14.91,12.72,6.58,DROITE,DROITE,CENTRE,GAUCHE,DROITE,14.91,0.88,63.16,21.05,12.73,22159.0,55.22,6.11,7.0,378,381,DROITE,0,LE PEN
59071,00071,Bersée,2017,1860,258,1602,1573,13.87,MACRON,FILLON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,26.13,24.92,22.31,12.59,6.68,CENTRE,DROITE,DROITE,GAUCHE,DROITE,26.13,2.1,53.91,17.86,7.57,24905.0,59.12,6.78,15.0,2296,2345,CENTRE,1,MACRON
59072,00072,Bersillies,2017,203,41,162,161,20.2,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,32.3,24.22,21.74,11.8,4.97,DROITE,CENTRE,DROITE,GAUCHE,DROITE,24.22,0.62,59.01,16.15,4.35,22083.0,46.19,0.0,0.0,250,252,DROITE,0,LE PEN
59073,00073,Berthen,2017,454,63,391,376,13.88,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,25.53,23.4,20.48,15.69,6.38,DROITE,DROITE,CENTRE,GAUCHE,DROITE,20.48,2.66,55.32,21.54,5.36,21979.0,57.46,0.0,0.0,597,607,DROITE,0,LE PEN
59074,00074,Bertry,2017,1666,363,1303,1261,21.79,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,36.64,18.79,15.94,11.9,7.22,DROITE,GAUCHE,CENTRE,DROITE,DROITE,15.94,2.3,55.75,26.01,16.85,18413.0,52.8,11.0,24.0,2148,2173,DROITE,0,LE PEN
59075,00075,Béthencourt,2017,538,81,457,443,15.06,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,39.28,20.99,13.54,11.74,7.45,DROITE,DROITE,CENTRE,GAUCHE,DROITE,13.54,2.03,67.72,16.7,11.27,19347.0,51.97,17.36,13.0,716,721,DROITE,0,LE PEN
59076,00076,Bettignies,2017,210,28,182,180,13.33,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,35.56,17.78,17.22,14.44,7.78,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.22,2.78,57.78,22.22,11.21,19116.0,44.88,0.0,0.0,309,314,DROITE,0,LE PEN
