commune,candidat,pct_2022,target_2022,prediction,correct
Pont-sur-Sambre,LE PEN,39.31,1,1,1
Pont-sur-Sambre,MACRON,23.16,0,0,1
Potelle,MACRON,29.12,1,1,1
Potelle,LE PEN,24.91,0,1,0
Preux-au-Bois,LE PEN,36.65,1,1,1
Preux-au-Bois,MACRON,21.95,0,0,1
Preux-au-Sart,LE PEN,30.86,1,1,1
Preux-au-Sart,MACRON,29.14,0,1,0
Prisches,LE PEN,37.18,1,1,1
Prisches,MACRON,21.39,0,0,1
Le Quesnoy,LE PEN,35.71,1,1,1
Le Quesnoy,MACRON,23.12,0,0,1
Quiévy,LE PEN,49.6,1,1,1
Quiévy,MACRON,19.8,0,0,1
Rainsars,LE PEN,45.04,1,1,1
Rainsars,MACRON,18.32,0,0,1
Raucourt-au-Bois,LE PEN,36.14,1,1,1
Raucourt-au-Bois,MACRON,24.1,0,0,1
Rieux-en-Cambrésis,LE PEN,39.53,1,1,1
Rieux-en-Cambrésis,MÉLENCHON,17.46,0,0,1
Robersart,LE PEN,37.82,1,1,1
Robersart,MACRON,19.33,0,0,1
Romeries,LE PEN,34.16,1,1,1
Romeries,MACRON,29.18,0,1,0
Ruesnes,LE PEN,32.18,1,1,1
Ruesnes,MACRON,29.12,0,1,0
Sains-du-Nord,LE PEN,44.77,1,1,1
Sains-du-Nord,MACRON,20.27,0,0,1
Saint-Aubert,LE PEN,47.04,1,1,1
Saint-Aubert,MACRON,19.51,0,0,1
Saint-Hilaire-lez-Cambrai,LE PEN,46.47,1,1,1
Saint-Hilaire-lez-Cambrai,MACRON,18.79,0,0,1
Saint-Martin-sur-Ecaillon,MACRON,26.81,1,1,1
Saint-Martin-sur-Ecaillon,LE PEN,26.18,0,1,0
