commune,bloc_vainqueur,target_mc,target_label,prediction,prediction_label,correct
Gognies-Chaussée,DROITE,1,DROITE,1,DROITE,1
Gussignies,CENTRE,0,CENTRE,1,DROITE,0
Hestrud,DROITE,1,DROITE,1,DROITE,1
Hon-Hergies,DROITE,1,DROITE,1,DROITE,1
Houdain-lez-Bavay,DROITE,1,DROITE,1,DROITE,1
Jeumont,DROITE,1,DROITE,2,GAUCHE,0
Lez-Fontaine,CENTRE,0,CENTRE,1,DROITE,0
Liessies,DROITE,1,DROITE,1,DROITE,1
La Longueville,DROITE,1,DROITE,1,DROITE,1
Louvroil,GAUCHE,2,GAUCHE,2,GAUCHE,1
Mairieux,DROITE,1,DROITE,1,DROITE,1
Marpent,DROITE,1,DROITE,1,DROITE,1
Maubeuge,GAUCHE,2,GAUCHE,2,GAUCHE,1
Mecquignies,DROITE,1,DROITE,1,DROITE,1
Moustier-en-Fagne,GAUCHE,2,GAUCHE,0,CENTRE,0
Obies,CENTRE,0,CENTRE,1,DROITE,0
Obrechies,DROITE,1,DROITE,1,DROITE,1
Ohain,DROITE,1,DROITE,1,DROITE,1
Quiévelon,DROITE,1,DROITE,1,DROITE,1
Ramousies,DROITE,1,DROITE,1,DROITE,1
Recquignies,DROITE,1,DROITE,1,DROITE,1
Rousies,DROITE,1,DROITE,1,DROITE,1
Saint-Aubin,DROITE,1,DROITE,1,DROITE,1
Saint-Hilaire-sur-Helpe,DROITE,1,DROITE,1,DROITE,1
Saint-Waast,DROITE,1,DROITE,1,DROITE,1
Sars-Poteries,DROITE,1,DROITE,1,DROITE,1
Sémeries,DROITE,1,DROITE,1,DROITE,1
Semousies,DROITE,1,DROITE,1,DROITE,1
Solre-le-Château,DROITE,1,DROITE,1,DROITE,1
Solrinnes,DROITE,1,DROITE,1,DROITE,1
Taisnières-en-Thiérache,DROITE,1,DROITE,1,DROITE,1
Taisnières-sur-Hon,DROITE,1,DROITE,1,DROITE,1
Trélon,DROITE,1,DROITE,1,DROITE,1
Vieux-Reng,DROITE,1,DROITE,1,DROITE,1
Villers-Sire-Nicole,DROITE,1,DROITE,1,DROITE,1
Wallers-en-Fagne,DROITE,1,DROITE,1,DROITE,1
