code_commune,libelle_commune,code_region,code_departement,code_arrondissement,code_canton,population_municipale,population_comptee_a_part,population_totale,annee
59473,Preux-au-Sart,31,59,1,50,293,2,295,2011
59474,Prisches,31,59,1,32,992,26,1018,2011
59475,Prouvy,31,59,6,67,2289,38,2327,2011
59476,Proville,31,59,2,14,3293,87,3380,2011
59477,Provin,31,59,5,57,4155,19,4174,2011
59478,Quaëdypre,31,59,4,9,1142,23,1165,2011
59479,Quarouble,31,59,6,65,3050,35,3085,2011
59480,Quérénaing,31,59,6,67,942,11,953,2011
59481,Le Quesnoy,31,59,1,94,5006,153,5159,2011
59482,Quesnoy-sur-Deûle,31,59,5,51,7048,86,7134,2011
59483,Quiévelon,31,59,1,45,153,5,158,2011
59484,Quiévrechain,31,59,6,65,6130,38,6168,2011
59485,Quiévy,31,59,2,15,1763,21,1784,2011
59486,Râches,31,59,3,77,2722,36,2758,2011
59487,Radinghem-en-Weppes,31,59,5,74,1358,34,1392,2011
59488,Raillencourt-Sainte-Olle,31,59,2,14,2361,43,2404,2011
59489,Raimbeaucourt,31,59,3,77,4100,51,4151,2011
59490,Rainsars,31,59,1,4,207,9,216,2011
59491,Raismes,31,59,6,55,12687,124,12811,2011
59492,Ramillies,31,59,2,13,593,12,605,2011
