code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59653,653,Wavrin,7773,7829,2021
59654,654,Waziers,7354,7418,2021
59655,655,Wemaers-Cappel,237,241,2021
59656,656,Wervicq-Sud,5299,5349,2021
59657,657,West-Cappel,636,646,2021
59658,658,Wicres,544,551,2021
59659,659,Wignehies,2821,2839,2021
59660,660,Willems,2996,3026,2021
59661,661,Willies,131,133,2021
59662,662,Winnezeele,1300,1331,2021
59663,663,Wormhout,5705,5790,2021
59664,664,Wulverdinghe,327,335,2021
59665,665,Wylder,301,307,2021
59666,666,Zegerscappel,1536,1562,2021
59667,667,Zermezeele,238,243,2021
59668,668,Zuydcoote,1580,1640,2021
59669,669,Zuytpeene,527,536,2021
